Date,G1_Sales,G2_Sales,G3_Sales,G4_Sales,G5_Sales,G6_Sales,Cloudiness,Temperature,Wind Speed,Weather Code,KielerWoche
2013-07-01,148.828353112183,535.8562847853609,201.198425690037,65.890168799361,317.475874933038,0.0,6.0,17.8375,15.0,20.0,0.0
2013-07-02,159.79375714468,546.7807873922969,265.261253994438,74.54391718274118,383.628681612577,0.0,3.0,17.3125,10.0,0.0,0.0
2013-07-03,111.885593514353,427.343258749983,210.260241465493,69.2627280649987,305.523072325318,0.0,7.0,21.075,6.0,61.0,0.0
2013-07-04,168.864940979931,454.85964134798706,190.686641378586,61.490175369225,308.408167942149,0.0,7.0,18.85,7.0,20.0,0.0
2013-07-05,171.280754117955,492.818804066088,181.644870215041,86.7598614451924,355.518770367742,0.0,5.0,19.975,12.0,0.0,0.0
2013-07-06,174.552359998476,631.906068038484,291.557959835153,80.6465768881107,361.86693279794093,0.0,0.0,18.9625,8.0,0.0,0.0
2013-07-07,92.63775537883728,695.25572963054,279.665938833443,94.60390248170529,370.20960108863,0.0,0.0,21.375,9.0,0.0,0.0
2013-07-08,135.500244042392,538.529249911711,195.158794309303,49.5000238633042,285.233382496522,0.0,0.0,22.725,10.0,5.0,0.0
2013-07-09,136.048382778344,585.9572646988489,245.808338509722,75.20899758345581,342.089345776475,0.0,0.0,23.275,8.0,0.0,0.0
2013-07-10,135.132314289581,567.365764527953,265.109142544045,73.80565111292579,343.35306650812294,0.0,2.0,19.6875,13.0,5.0,0.0
2013-07-11,138.549392636714,569.109374584873,234.65807920749,68.6330279122302,315.911756962233,0.0,0.0,21.375,12.0,5.0,0.0
2013-07-12,101.447511461298,600.267914678783,290.199097765019,0.0,362.802489634211,0.0,0.0,20.2875,7.0,0.0,0.0
2013-07-13,141.233309883732,747.1407763825758,340.046632736531,74.2744737887665,359.166188843392,0.0,1.0,20.125,12.0,0.0,0.0
2013-07-14,112.524365708762,777.048841669282,320.626816189556,115.271617188867,461.082124524619,0.0,5.0,17.6875,15.0,5.0,0.0
2013-07-15,161.264677322182,596.995099998235,243.526401440661,99.49353058574387,380.68369651152,0.0,6.0,18.7375,12.0,0.0,0.0
2013-07-16,116.821358174215,558.797138274201,287.415464972525,91.77969760810329,320.43533597922,0.0,1.0,21.1875,10.0,0.0,0.0
2013-07-17,150.572919592838,628.3257189780729,301.777437970497,0.0,396.99424714406,0.0,5.0,22.5125,8.0,0.0,0.0
2013-07-18,101.90072129658,647.822253705942,250.426586853024,89.2058404577425,300.398790118057,0.0,1.0,23.25,11.0,5.0,0.0
2013-07-19,161.63511518654,646.788959790823,287.18828629416,62.0636098816993,369.40038927753295,0.0,3.0,22.475,16.0,5.0,0.0
2013-07-20,134.328076682024,843.051280035386,394.76567471047696,69.9369965472912,346.154004294146,0.0,0.0,23.1875,8.0,0.0,0.0
2013-07-21,66.2887578161955,815.942264195776,346.658236387984,82.6826868784511,287.443788531561,0.0,0.0,26.375,8.0,0.0,0.0
2013-07-22,131.223948997842,647.682748973215,297.712614415266,99.3353908053911,356.48406720632494,0.0,0.0,26.1,9.0,0.0,0.0
2013-07-23,110.315246796665,691.043662205889,323.301431663341,70.5290024618065,316.29681714496,0.0,0.0,24.95,12.0,0.0,0.0
2013-07-24,141.891908195545,698.340862077002,328.023102507764,83.5816326885927,327.339400651794,0.0,3.0,24.075,11.0,0.0,0.0
2013-07-25,167.701216640907,681.250768331783,280.809721012322,65.8902979709521,303.192537586556,0.0,2.0,23.0875,9.0,0.0,0.0
2013-07-26,147.272084366206,718.016648132155,352.293883343641,53.1984562311259,331.522091778847,0.0,3.0,27.2625,6.0,0.0,0.0
2013-07-27,161.403357795112,855.619095347599,382.96587997794495,0.0,358.892714466409,0.0,1.0,26.1625,10.0,0.0,0.0
2013-07-28,86.0791432446654,871.8025464558369,360.096105223697,0.0,437.82479549509696,0.0,4.0,24.8875,13.0,61.0,0.0
2013-07-29,183.564164400591,672.50214523923,356.033434735079,0.0,368.951029057165,0.0,1.0,22.7875,10.0,0.0,0.0
2013-07-30,132.111640117897,690.117757120039,354.531775116541,0.0,424.086156965952,0.0,5.0,21.075,13.0,21.0,0.0
2013-07-31,144.745431773143,667.842224335937,321.075920611583,0.0,426.985804024935,0.0,5.0,20.275,16.0,65.0,0.0
